,Feature,Importance
68,ECFP_70,0.21935549348132816
331,ECFP_334,0.18068204385767817
931,ECFP_936,0.0453484516644339
715,ECFP_720,0.02619800352615012
979,ECFP_985,0.020849584120613645
883,ECFP_888,0.0187607814248592
454,ECFP_457,0.01821992033087473
376,ECFP_379,0.01576546214371156
546,ECFP_550,0.013015047317608958
588,ECFP_592,0.011829281447068992
259,ECFP_262,0.008229420435954937
889,ECFP_894,0.0061169155640668285
727,ECFP_732,0.004899428282944787
871,ECFP_876,0.004549854572270764
790,ECFP_795,0.0041993656638575
984,ECFP_990,0.0037406553673812702
146,ECFP_148,0.003710073565983782
116,ECFP_118,0.00370957991520763
292,ECFP_295,0.003022860448347619
39,ECFP_41,0.003014001458087864
872,ECFP_877,0.0029154841503493414
139,ECFP_141,0.002898666192446424
483,ECFP_487,0.0028975676295929682
418,ECFP_421,0.0028850611404489875
205,ECFP_208,0.0026071125444677074
299,ECFP_302,0.0025010940373822177
595,ECFP_599,0.0024636707841288923
253,ECFP_256,0.002436260496776846
6,ECFP_7,0.002388619245854775
521,ECFP_525,0.0023202589703534278
35,ECFP_37,0.0021944852366808975
1014,ECFP_1020,0.0021653039862569302
303,ECFP_306,0.0020801094210780077
900,ECFP_905,0.002073780766186202
62,ECFP_64,0.002000484378507062
229,ECFP_232,0.001964944237195962
962,ECFP_968,0.0019580501976212603
118,ECFP_120,0.0019374268889846308
771,ECFP_776,0.0019016123708516946
387,ECFP_390,0.00183783059588402
509,ECFP_513,0.0017832351643408348
1,ECFP_2,0.0017362632057225816
9,ECFP_10,0.001734387431428268
311,ECFP_314,0.0016642112883021327
127,ECFP_129,0.0016450380335976927
281,ECFP_284,0.0016294926178927157
558,ECFP_562,0.0016291829738580975
824,ECFP_829,0.0015873286829681938
691,ECFP_696,0.0015688269330749573
343,ECFP_346,0.0015505123385059832
957,ECFP_962,0.0015243983662193048
287,ECFP_290,0.0015199770520376112
480,ECFP_484,0.001516091598583546
999,ECFP_1005,0.0015156536020783787
219,ECFP_222,0.0014919003809889509
15,ECFP_16,0.0014637208171664484
656,ECFP_660,0.00145894943081607
576,ECFP_580,0.001455592267207566
575,ECFP_579,0.0014248401350127901
933,ECFP_938,0.0013718449649690024
722,ECFP_727,0.001351496150507332
135,ECFP_137,0.0013286710486911917
383,ECFP_386,0.0013197287828370912
187,ECFP_189,0.0013070946982647442
633,ECFP_637,0.0012991162373383867
269,ECFP_272,0.001296243920103962
129,ECFP_131,0.0012950308091788647
724,ECFP_729,0.0012917718789210264
120,ECFP_122,0.0012684609346258686
517,ECFP_521,0.001255271971003613
694,ECFP_699,0.0012535114344747913
439,ECFP_442,0.0012525515338668498
32,ECFP_34,0.0012500653354698668
309,ECFP_312,0.001243004453557879
21,ECFP_22,0.001231700816556326
45,ECFP_47,0.001230142659932167
94,ECFP_96,0.0012239616119782005
947,ECFP_952,0.0012216917182981779
79,ECFP_81,0.0012215667602133691
992,ECFP_998,0.0012172186104623662
10,ECFP_11,0.0012065651388875388
