,Feature,Permutation Importance
331,ECFP_334,0.09375440088149659
931,ECFP_936,0.08248230608586579
68,ECFP_70,0.07439183569707884
546,ECFP_550,0.06713605215856035
454,ECFP_457,0.060187475402306144
883,ECFP_888,0.026667567896330145
979,ECFP_985,0.026437675722659204
376,ECFP_379,0.023765598967855128
715,ECFP_720,0.016382403282346625
588,ECFP_592,0.010749720945941099
871,ECFP_876,0.0065595042229236065
984,ECFP_990,0.004796864266672774
790,ECFP_795,0.00473333483068451
292,ECFP_295,0.004151939638987212
872,ECFP_877,0.0035161172845102006
146,ECFP_148,0.0034225776082251525
116,ECFP_118,0.003265036855429659
1014,ECFP_1020,0.003113030997819899
35,ECFP_37,0.002322068133401001
39,ECFP_41,0.002306761640180177
139,ECFP_141,0.0021968852594734687
483,ECFP_487,0.0021525033869258412
418,ECFP_421,0.0019147394453756128
299,ECFP_302,0.0018289238454206158
595,ECFP_599,0.0017434302795143908
889,ECFP_894,0.0014423849172537806
558,ECFP_562,0.0013709427499220995
205,ECFP_208,0.0013486088005914554
480,ECFP_484,0.0012733725551086316
900,ECFP_905,0.0012286177935057151
6,ECFP_7,0.001219584409041774
129,ECFP_131,0.001205239990284046
727,ECFP_732,0.0011795613576049192
118,ECFP_120,0.0011663129777176318
303,ECFP_306,0.0011420172965266428
576,ECFP_580,0.0011316416240047754
253,ECFP_256,0.0010217987286338047
185,ECFP_187,0.001014620073390271
127,ECFP_129,0.000999116433124969
311,ECFP_314,0.0009748694312258887
999,ECFP_1005,0.0009504795197236904
1,ECFP_2,0.000941825927348594
771,ECFP_776,0.0009357997184471056
45,ECFP_47,0.000909503504167597
79,ECFP_81,0.0008938154193795956
259,ECFP_262,0.0008806546297928097
937,ECFP_942,0.0008708167710430148
281,ECFP_284,0.0008600372087752217
229,ECFP_232,0.000849114649951388
656,ECFP_660,0.0008235874008144406
62,ECFP_64,0.0008203130339566545
419,ECFP_422,0.0007920840906308846
120,ECFP_122,0.0007865264850410503
