,Feature,Importance
431,cddd_432,0.2770304908416227
8,cddd_9,0.10580293781091063
160,cddd_161,0.04429356919150102
73,cddd_74,0.03814683956418793
71,cddd_72,0.03307778360148921
85,cddd_86,0.027111571941668418
190,cddd_191,0.013509937343117968
389,cddd_390,0.011559634701253605
457,cddd_458,0.007897998010220104
323,cddd_324,0.00760619982106091
510,cddd_511,0.0072742681670976295
175,cddd_176,0.006647798154998858
140,cddd_141,0.005884764006077662
51,cddd_52,0.005727737612904499
296,cddd_297,0.0055311816460991365
209,cddd_210,0.005108834588361075
440,cddd_441,0.004442049124543959
368,cddd_369,0.00419067827285514
26,cddd_27,0.0040029269772775405
150,cddd_151,0.0037834769234281005
287,cddd_288,0.0036705969520666568
57,cddd_58,0.0035401944062453004
152,cddd_153,0.0032365752786195916
306,cddd_307,0.003158132139127716
236,cddd_237,0.0029247159009495195
45,cddd_46,0.0028258719164040327
250,cddd_251,0.0028076016928899614
327,cddd_328,0.002758124853375713
158,cddd_159,0.0026940087662269173
508,cddd_509,0.002592465053792687
473,cddd_474,0.0025128220169823162
105,cddd_106,0.0023739297257569353
267,cddd_268,0.002251568232795425
493,cddd_494,0.0022462928918084405
407,cddd_408,0.002224095649852464
248,cddd_249,0.002208754776162663
397,cddd_398,0.0021095038172747427
243,cddd_244,0.002107630015467968
312,cddd_313,0.0020844414440144964
119,cddd_120,0.001986552840871624
124,cddd_125,0.0019746225403226058
335,cddd_336,0.001966474633160609
349,cddd_350,0.0019076154863529864
450,cddd_451,0.0018836036574365815
44,cddd_45,0.0018687320890941684
224,cddd_225,0.0018337474973508557
409,cddd_410,0.0017814136666367635
297,cddd_298,0.0017738933858721716
385,cddd_386,0.001707029424890949
487,cddd_488,0.0016952652604703823
420,cddd_421,0.0016918902000608578
302,cddd_303,0.0016747975777838472
361,cddd_362,0.0016488036439917246
112,cddd_113,0.001589863195398128
93,cddd_94,0.0015590419712644622
80,cddd_81,0.0015545940965159132
291,cddd_292,0.0015400650694100428
426,cddd_427,0.0015282978041661025
277,cddd_278,0.0015081297574343346
34,cddd_35,0.0015073655538497103
129,cddd_130,0.0014914573013106284
379,cddd_380,0.0014893381241781064
430,cddd_431,0.0014846185187062074
157,cddd_158,0.0014520110568800784
135,cddd_136,0.001411917968824717
364,cddd_365,0.0013644079354141188
363,cddd_364,0.0013622530448241662
442,cddd_443,0.0013486339742811372
240,cddd_241,0.001338613519693502
49,cddd_50,0.0013221689719624715
358,cddd_359,0.0012869671490251147
242,cddd_243,0.0012647796093534086
304,cddd_305,0.0012625087062346663
307,cddd_308,0.001226226177150431
326,cddd_327,0.001223057969424557
507,cddd_508,0.0012150620538801094
438,cddd_439,0.001212822300091941
15,cddd_16,0.0012103421582054354
139,cddd_140,0.0012009906181679473
192,cddd_193,0.0011956556758123311
471,cddd_472,0.0011863463680023536
443,cddd_444,0.0011723386573558728
256,cddd_257,0.001165009785810065
0,cddd_1,0.0011632488859477932
338,cddd_339,0.0011465103496874382
458,cddd_459,0.0011435219781919931
159,cddd_160,0.0011378145288714594
201,cddd_202,0.0011217764031576912
207,cddd_208,0.0011178409108935075
195,cddd_196,0.0011152529142373327
96,cddd_97,0.0011029240776028652
444,cddd_445,0.0010991057776353044
161,cddd_162,0.001098083250926748
244,cddd_245,0.0010896500509874184
40,cddd_41,0.0010856066049368877
434,cddd_435,0.0010813224233801088
466,cddd_467,0.0010604943364638031
451,cddd_452,0.0010569745040325295
308,cddd_309,0.001043661974392372
95,cddd_96,0.0010428219003901491
255,cddd_256,0.0010384078562072857
147,cddd_148,0.0010379638969522564
268,cddd_269,0.001037557719456051
491,cddd_492,0.0010251739881280844
66,cddd_67,0.001011942643381825
130,cddd_131,0.0010072686711690094
23,cddd_24,0.0009962225771131138
168,cddd_169,0.0009877728594022287
354,cddd_355,0.0009766951488930187
488,cddd_489,0.0009707161981403782
486,cddd_487,0.0009678126859296075
182,cddd_183,0.0009672031734983233
22,cddd_23,0.0009651567364340991
480,cddd_481,0.0009643054146627726
370,cddd_371,0.000961158059659713
203,cddd_204,0.0009573996150034354
141,cddd_142,0.0009559846938238703
390,cddd_391,0.0009545034714439008
151,cddd_152,0.0009534699332690097
369,cddd_370,0.0009520416434819864
77,cddd_78,0.0009509057124623276
500,cddd_501,0.0009453820888952257
503,cddd_504,0.0009430994618308676
403,cddd_404,0.0009355914178911418
146,cddd_147,0.0009317938554600269
228,cddd_229,0.000929508376611862
509,cddd_510,0.0009268340687425886
399,cddd_400,0.0009264412146832422
351,cddd_352,0.000926193367252697
19,cddd_20,0.0009259474835305593
371,cddd_372,0.0009205890062534184
117,cddd_118,0.0009159050612452987
9,cddd_10,0.0009143595103286018
264,cddd_265,0.0009125520578386636
378,cddd_379,0.0009108261277298356
345,cddd_346,0.0009079104840775626
437,cddd_438,0.000906922209997102
92,cddd_93,0.0009067305492368384
39,cddd_40,0.0009023550234324258
100,cddd_101,0.000899188844338001
321,cddd_322,0.0008979804077463096
373,cddd_374,0.00089593395708416
472,cddd_473,0.0008922989410702185
274,cddd_275,0.0008907668537905801
87,cddd_88,0.0008879165770358037
386,cddd_387,0.0008761245235239128
226,cddd_227,0.0008731545827694643
481,cddd_482,0.0008725407351176905
447,cddd_448,0.0008711264797808816
65,cddd_66,0.0008658384002241734
88,cddd_89,0.0008597516232895469
394,cddd_395,0.0008594733709390413
303,cddd_304,0.0008563670686212504
27,cddd_28,0.0008546982079019704
470,cddd_471,0.0008541232194993724
359,cddd_360,0.0008539924925426452
155,cddd_156,0.000853399282573099
289,cddd_290,0.0008525498907575744
452,cddd_453,0.0008480654346399102
383,cddd_384,0.000845651620136754
99,cddd_100,0.0008450640493165273
455,cddd_456,0.0008411526877933262
276,cddd_277,0.0008330567545723004
273,cddd_274,0.0008284405211009513
271,cddd_272,0.0008262561194055032
477,cddd_478,0.0008212722889107372
460,cddd_461,0.0008205276721876245
29,cddd_30,0.0008204577473635578
439,cddd_440,0.0008196206620827957
142,cddd_143,0.0008176943304215699
416,cddd_417,0.0008163594487996554
126,cddd_127,0.0008161639282445962
262,cddd_263,0.0008124999923799311
86,cddd_87,0.0008116717773778266
333,cddd_334,0.0008108312188868401
171,cddd_172,0.0008091419345835329
202,cddd_203,0.0008075372834486109
233,cddd_234,0.000807411860870432
412,cddd_413,0.0008072456913898022
162,cddd_163,0.0008042418717668077
290,cddd_291,0.000802822229750675
186,cddd_187,0.0008006997765652714
167,cddd_168,0.0007999384672933348
309,cddd_310,0.0007920900973755146
436,cddd_437,0.0007892804150834308
109,cddd_110,0.0007829327556087296
347,cddd_348,0.0007796820831966166
263,cddd_264,0.0007789877763831149
492,cddd_493,0.0007769372478660353
459,cddd_460,0.0007674626458760469
259,cddd_260,0.0007654888413955093
205,cddd_206,0.0007637918786502191
225,cddd_226,0.0007563254851083818
145,cddd_146,0.000751205430023558
247,cddd_248,0.0007475444129529742
194,cddd_195,0.0007473001683896345
441,cddd_442,0.0007472937643986736
128,cddd_129,0.0007422589213261174
143,cddd_144,0.000740056147858174
235,cddd_236,0.0007391908427066834
404,cddd_405,0.0007327770561493922
20,cddd_21,0.0007294861370307572
344,cddd_345,0.0007291116205547005
501,cddd_502,0.0007286478845143205
1,cddd_2,0.0007264044668777091
4,cddd_5,0.0007243983317419741
495,cddd_496,0.0007237416914964316
449,cddd_450,0.0007227926312922309
448,cddd_449,0.0007185070440161364
254,cddd_255,0.0007180076131658106
281,cddd_282,0.0007152957830966638
16,cddd_17,0.0007152029761249266
319,cddd_320,0.0007130025444055964
356,cddd_357,0.0007116372545321193
107,cddd_108,0.0007103130602415927
81,cddd_82,0.0007074849423238577
265,cddd_266,0.000706611953032189
489,cddd_490,0.0007061520624581052
217,cddd_218,0.0007028179169448347
91,cddd_92,0.0007014262787621289
76,cddd_77,0.0007014129277823128
163,cddd_164,0.0007006505401630781
144,cddd_145,0.0006995227823400778
68,cddd_69,0.0006990897894935734
115,cddd_116,0.0006980721963332272
47,cddd_48,0.0006975719761010921
320,cddd_321,0.0006939882267008606
7,cddd_8,0.0006893691045489525
75,cddd_76,0.0006865843365653696
46,cddd_47,0.0006849765225278969
246,cddd_247,0.0006843932446817633
475,cddd_476,0.0006828337686050395
485,cddd_486,0.0006825333033699839
280,cddd_281,0.0006823398118731661
336,cddd_337,0.0006820166439855293
381,cddd_382,0.0006814507872871867
229,cddd_230,0.0006801288665957724
316,cddd_317,0.0006793841445828416
456,cddd_457,0.0006789084521587503
425,cddd_426,0.0006761435104933389
137,cddd_138,0.0006745802918787976
103,cddd_104,0.0006737752349872395
502,cddd_503,0.0006678320309858278
367,cddd_368,0.0006675234540407556
400,cddd_401,0.0006669179728735129
83,cddd_84,0.0006639144807538899
377,cddd_378,0.0006634987523594179
465,cddd_466,0.0006629404457174142
463,cddd_464,0.0006622342153865577
288,cddd_289,0.0006596460825606919
106,cddd_107,0.0006584931119264807
401,cddd_402,0.0006579380904981879
64,cddd_65,0.0006566832702884853
353,cddd_354,0.0006562456321580426
84,cddd_85,0.0006557879886282155
253,cddd_254,0.000651647812055669
405,cddd_406,0.0006505796917912165
362,cddd_363,0.0006461034255622497
249,cddd_250,0.0006454101687592834
241,cddd_242,0.0006448513913265232
322,cddd_323,0.0006431805490589244
89,cddd_90,0.0006430118806660885
50,cddd_51,0.0006417821233932109
395,cddd_396,0.00064160532857285
212,cddd_213,0.0006379153034365921
127,cddd_128,0.0006377433022176658
445,cddd_446,0.0006340802391131843
423,cddd_424,0.000631879666544563
132,cddd_133,0.0006312074679266515
38,cddd_39,0.0006301346164428784
116,cddd_117,0.0006278347951273631
104,cddd_105,0.0006228301148115871
331,cddd_332,0.0006221975464026948
69,cddd_70,0.0006211820510373364
245,cddd_246,0.0006210130799048386
154,cddd_155,0.0006196912266582742
191,cddd_192,0.0006195336518572406
318,cddd_319,0.0006189830961732748
149,cddd_150,0.0006140262074193425
266,cddd_267,0.0006129841643594767
30,cddd_31,0.0006113258028915376
70,cddd_71,0.0006066291027285498
61,cddd_62,0.0006051669409226091
299,cddd_300,0.0006046085491837858
384,cddd_385,0.0006020895217981177
172,cddd_173,0.0006011641671923663
310,cddd_311,0.0006010924304425759
179,cddd_180,0.00059997341851482
222,cddd_223,0.0005999698869011173
391,cddd_392,0.0005986789693204369
429,cddd_430,0.000596448989011935
