,Feature,Permutation Importance
431,cddd_432,0.18142011616105064
73,cddd_74,0.025643736406356997
71,cddd_72,0.024824983855045935
8,cddd_9,0.022568161634537252
160,cddd_161,0.02094760902745294
85,cddd_86,0.009772558392950737
323,cddd_324,0.0062063798481384325
190,cddd_191,0.004708707628329223
510,cddd_511,0.0039606096034523475
389,cddd_390,0.003642241871121643
175,cddd_176,0.0021636601965641543
457,cddd_458,0.0017930663153221005
26,cddd_27,0.001781711585538237
51,cddd_52,0.0016566412700560807
327,cddd_328,0.0015436658856581632
158,cddd_159,0.0015203386750226478
248,cddd_249,0.001490818330763688
312,cddd_313,0.0014769874469781953
140,cddd_141,0.0014187407189375056
397,cddd_398,0.001379121793472371
368,cddd_369,0.0013780077292991021
150,cddd_151,0.0013144900941797987
250,cddd_251,0.0012951133026837258
296,cddd_297,0.0012883142749828824
209,cddd_210,0.0012575730857196765
450,cddd_451,0.0011164070137226866
287,cddd_288,0.0011046060247741018
152,cddd_153,0.0010816314427378958
508,cddd_509,0.001012504440902473
473,cddd_474,0.0010081403645840093
236,cddd_237,0.0008396427514912097
243,cddd_244,0.0007621095741855877
426,cddd_427,0.0007152080467597299
442,cddd_443,0.0006932897195814136
44,cddd_45,0.0006774479799450117
57,cddd_58,0.0006503832178745061
373,cddd_374,0.000612719517718674
302,cddd_303,0.0006108647754304086
440,cddd_441,0.0005985560991795147
385,cddd_386,0.0005930283674682402
493,cddd_494,0.000587160954924959
361,cddd_362,0.000584974138209593
297,cddd_298,0.0005690288610833205
105,cddd_106,0.0005689432198497047
255,cddd_256,0.0005666496010834021
277,cddd_278,0.0005606169442769593
487,cddd_488,0.0005586933791728143
409,cddd_410,0.0005538411590983672
307,cddd_308,0.0005522697544611099
364,cddd_365,0.0005507528647748505
379,cddd_380,0.0005488249124733447
112,cddd_113,0.0005419385512616226
267,cddd_268,0.0005383177261718775
124,cddd_125,0.0005381294331770925
407,cddd_408,0.0005370267949434959
224,cddd_225,0.0005221125301914764
80,cddd_81,0.0005219845582056127
49,cddd_50,0.0005150991865230159
507,cddd_508,0.000508622193334729
34,cddd_35,0.0004998286641223704
326,cddd_327,0.000499195654090212
335,cddd_336,0.0004950846383462327
192,cddd_193,0.0004914137453976286
0,cddd_1,0.00048638298318480765
434,cddd_435,0.00047150136169602506
349,cddd_350,0.00045692541358874903
420,cddd_421,0.0004528182726762808
430,cddd_431,0.000450570429449626
40,cddd_41,0.0004494693720150433
135,cddd_136,0.0004481087028497921
338,cddd_339,0.00042919386400875893
242,cddd_243,0.0004283220342218508
77,cddd_78,0.0004204094324679275
119,cddd_120,0.0004160805558107605
130,cddd_131,0.00041542834608340187
146,cddd_147,0.00041539014463464196
129,cddd_130,0.00041129720033229457
141,cddd_142,0.00040891380313732293
9,cddd_10,0.00039617573317858313
370,cddd_371,0.00039412584501347103
96,cddd_97,0.00038747850229650107
488,cddd_489,0.0003835774240298795
306,cddd_307,0.0003798810634733085
466,cddd_467,0.00037981280772884094
321,cddd_322,0.00037444954845350376
203,cddd_204,0.00037377302357078924
386,cddd_387,0.0003724551932537734
195,cddd_196,0.00037240142131698126
117,cddd_118,0.0003721217449703107
304,cddd_305,0.0003713432001192896
151,cddd_152,0.0003693916949106146
451,cddd_452,0.0003678601336117748
458,cddd_459,0.0003594069292830127
308,cddd_309,0.0003553466893319257
201,cddd_202,0.0003534100164467757
87,cddd_88,0.00035318005143919473
271,cddd_272,0.00035058155559894997
399,cddd_400,0.00034861508429185896
438,cddd_439,0.000347420485333183
363,cddd_364,0.0003455071573458368
485,cddd_486,0.00034546325828677116
358,cddd_359,0.0003406154107621462
448,cddd_449,0.00033719302005380536
472,cddd_473,0.0003364313995689039
45,cddd_46,0.000334351519859144
394,cddd_395,0.00033186426047842054
168,cddd_169,0.00032924008914124724
241,cddd_242,0.0003274012056513231
233,cddd_234,0.000326746074226647
99,cddd_100,0.0003266331451441618
159,cddd_160,0.00032637526595763466
93,cddd_94,0.000325111870366801
403,cddd_404,0.0003231485391343547
470,cddd_471,0.00032253644459101505
264,cddd_265,0.00032050967832758515
92,cddd_93,0.00031953472803996074
100,cddd_101,0.00031738396334090034
486,cddd_487,0.00031605519918422866
390,cddd_391,0.0003123961631679162
15,cddd_16,0.00030900031313368936
244,cddd_245,0.0003084997432521219
509,cddd_510,0.00030718285711162086
436,cddd_437,0.0003064339117063164
235,cddd_236,0.0003059906968571946
182,cddd_183,0.0003059403844987152
171,cddd_172,0.00030171573268790165
444,cddd_445,0.00030170723290182664
240,cddd_241,0.0002996340459725189
500,cddd_501,0.00029778998344902606
371,cddd_372,0.0002973170760435351
66,cddd_67,0.0002959564145203375
369,cddd_370,0.0002951338156396921
262,cddd_263,0.0002948565832981864
345,cddd_346,0.0002942564331244957
194,cddd_195,0.0002937193594733878
256,cddd_257,0.0002937120633164758
452,cddd_453,0.0002908248355704024
202,cddd_203,0.00029043587007844264
22,cddd_23,0.00028913294358033913
378,cddd_379,0.000289103618570441
65,cddd_66,0.00028807897823962536
491,cddd_492,0.0002869966143234759
19,cddd_20,0.00028641611940450896
86,cddd_87,0.0002806068943076001
142,cddd_143,0.00027908881455646073
383,cddd_384,0.0002787371771493796
412,cddd_413,0.0002785227522619227
432,cddd_433,0.000276676142774368
481,cddd_482,0.0002759367138620572
439,cddd_440,0.0002751456463986002
276,cddd_277,0.0002747941349324212
437,cddd_438,0.0002747212858813519
354,cddd_355,0.0002747059312378952
309,cddd_310,0.0002743838518817654
226,cddd_227,0.00027266881286212017
225,cddd_226,0.0002678529616254477
162,cddd_163,0.00026517889605005563
