Lab,Category
Lab_1,Aarhus
Lab_2,Academy of Forensic Science
Lab_3,Adelaide
Lab_4,Australian Racing Forensic Laboratory
Lab_5,B.C. Provincial Toxicology Centre
Lab_6,CFSRE
Lab_7,ChemCentre
Lab_8,Copenhagen
Lab_9,Estonian Forensic Science Institute
Lab_10,Finnish Customs Laboratory
Lab_11,Ghent University
Lab_12,"IUPA, UJI I (E)"
Lab_13,King's College Hospital
Lab_14,LADR
Lab_15,Labor Krone
Lab_16,Mainz
Lab_17,Odense
Lab_18,San Francisco OCME
Lab_19,The University of Queensland
Lab_20,Trondheim
Lab_21,University Hospital of Northern Norway
Lab_22,University of Athens
Lab_23,Victorian Institute of Forensic Medicine
Lab_24,Zurich Institute of Forensic Medicine
