,Feature,Permutation Importance
123,MolLogP,0.2682321078368523
28,BertzCT,0.23053381680710777
110,NumAliphaticHeterocycles,0.12339053293386833
208,fr_unbrch_alkane,0.027285592137900404
22,BCUT2D_LOGPHI,0.011934411069443573
24,BCUT2D_MRHI,0.01184098352285452
21,BCUT2D_CHGLO,0.0101076627961175
44,Kappa2,0.009173270196924054
57,PEOE_VSA6,0.008085167270748506
98,VSA_EState3,0.007524024622904102
78,SlogP_VSA5,0.005573252068284551
60,PEOE_VSA9,0.004400964100482907
99,VSA_EState4,0.004378999083008717
64,SMR_VSA3,0.004196980605754718
23,BCUT2D_LOGPLOW,0.004127268582628551
95,VSA_EState1,0.0039668967557670905
4,qed,0.003367487403134373
43,Kappa1,0.003021866474260704
75,SlogP_VSA2,0.0027520754762600298
100,VSA_EState5,0.0024993250759690277
102,VSA_EState7,0.002422920649865068
1,MaxEStateIndex,0.0023741546349467235
39,Chi4n,0.0022023647445173268
27,BalabanJ,0.0021975853766386
20,BCUT2D_CHGHI,0.0021195009505645237
58,PEOE_VSA7,0.002050736611085424
2,MinAbsEStateIndex,0.0020472410701424804
89,EState_VSA4,0.0020397702245063985
101,VSA_EState6,0.002023839737278743
19,BCUT2D_MWLOW,0.001993408024286647
0,MaxAbsEStateIndex,0.0019692310922269753
26,AvgIpc,0.0019632794686652135
18,BCUT2D_MWHI,0.0019607844064181033
47,PEOE_VSA1,0.00192796621755853
36,Chi2v,0.001860829760174354
177,fr_ketone_Topliss,0.0018261872984258521
88,EState_VSA3,0.0018215262532729648
35,Chi2n,0.001781811729571925
45,Kappa3,0.0017514601950163744
17,FpDensityMorgan3,0.0017474780003703394
40,Chi4v,0.0017100299257389096
25,BCUT2D_MRLOW,0.0016514293836212169
103,VSA_EState8,0.0016404301698375034
67,SMR_VSA6,0.0016390857084578104
92,EState_VSA7,0.0016329249472197827
96,VSA_EState10,0.0016275869930301168
124,MolMR,0.0016195924338819
62,SMR_VSA10,0.0016119769285524166
59,PEOE_VSA8,0.0016096649360659687
66,SMR_VSA5,0.001604431051389499
97,VSA_EState2,0.001575444867842446
